Strain	ST Oxf	ST Pas	K/O typing	City	Collection date	AMK	GEN	IPM	MEM	CRO	CAZ	FEP	MIN	TGC	CST	Accession
13-1	195	2	KL3, OCL1	Xi'an	20131226	512	512	64	128	1024	1024	1024	4	1	0.06	SAMN36593393
13-10	208	2	KL2, OCL1	Xi'an	20130826	512	512	128	4	1024	1024	1024	8	2	0.125	SAMN36593394
13-11	-	354	KL153, OCL12	Xi'an	20130905	4	2	0.25	0.125	8	2	2	<0.06	0.5	0.125	SAMN36593395
13-13	195	2	KL3, OCL1	Xi'an	20130613	512	512	64	128	1024	1024	512	4	1	0.125	SAMN36593396
13-15	195	2	KL3, OCL1	Xi'an	20130813	512	512	64	128	1024	1024	512	4	0.5	0.125	SAMN36593397
13-18	368	2	KL161, OCL1	Xi'an	20130422	512	512	64	128	1024	128	1024	8	1	0.125	SAMN36593398
13-19	368	2	KL161, OCL1	Xi'an	20130625	512	512	64	128	1024	128	1024	8	0.5	0.125	SAMN36593399
13-2	195	2	KL3, OCL1	Xi'an	20131115	512	512	64	64	1024	1024	512	4	1	0.125	SAMN36593400
13-22	208	2	KL2, OCL1	Xi'an	20130503	512	512	8	32	1024	128	64	4	1	0.125	SAMN36593401
13-24	368	2	KL161, OCL1	Xi'an	20130520	512	512	64	128	1024	128	1024	8	1	0.125	SAMN36593402
13-26	195	2	KL3, OCL1	Xi'an	20130708	512	512	64	128	1024	1024	512	4	1	0.25	SAMN36593403
13-29	368	2	KL161, OCL1	Xi'an	20130520	512	512	128	512	512	256	256	8	0.5	0.125	SAMN36593404
13-5	195	2	KL3, OCL1	Xi'an	20131003	512	512	64	64	1024	512	512	16	0.5	0.125	SAMN36593405
13-6	208	2	KL2, OCL1	Xi'an	20130410	512	512	8	32	1024	256	32	1	1	<0.03	SAMN36593406
13-9	368	2	KL161, OCL1	Xi'an	20130621	512	512	128	64	1024	128	1024	16	0.5	0.125	SAMN36593407
14-10	195	2	KL3, OCL1	Xi'an	20140826	512	512	64	128	1024	1024	512	4	1	0.06	SAMN36593408
14-13	195	2	KL3, OCL1	Xi'an	20140606	512	512	32	2	1024	1024	256	4	1	0.125	SAMN36593409
14-16	195	2	KL3, OCL1	Xi'an	20140418	512	512	64	128	1024	1024	512	4	1	<0.03	SAMN36593410
14-18	195	2	KL3, OCL1	Xi'an	20140110	512	512	64	128	1024	1024	1024	4	1	0.125	SAMN36593411
14-3	208	2	KL2, OCL1	Xi'an	20141029	512	512	128	512	1024	256	256	4	1	0.25	SAMN36593412
14-5	195	2	KL3, OCL1	Xi'an	20141003	512	512	64	128	1024	1024	512	8	2	0.06	SAMN36593413
14-7	195	2	KL3, OCL1	Xi'an	20140915	512	512	64	128	1024	1024	512	4	1	0.125	SAMN36593414
14-8	208	2	KL2, OCL1	Xi'an	20140902	512	512	256	512	1024	256	1024	4	0.5	0.25	SAMN36593415
15-1	208	2	KL7, OCL1	Xi'an	20150415	512	512	2	4	1024	128	1024	4	1	0.125	SAMN36593416
15-14	208	2	KL2, OCL1	Xi'an	20151205	512	512	128	256	1024	128	512	4	1	0.25	SAMN36593417
15-15	208	2	KL7, OCL1	Xi'an	20150409	512	512	2	4	1024	256	1024	4	1	0.125	SAMN36593418
15-2	208	2	KL2, OCL1	Xi'an	20150810	512	512	128	512	1024	128	512	4	1	0.125	SAMN36593419
15-3	208	2	KL2, OCL1	Xi'an	20150917	512	512	8	32	1024	128	128	4	1	0.06	SAMN36593420
15-5	208	2	KL2, OCL1	Xi'an	20151007	512	512	8	32	1024	128	128	4	0.25	0.125	SAMN36593421
15-8	195	2	KL3, OCL1	Xi'an	20150205	512	512	32	64	1024	1024	256	4	0.5	0.25	SAMN36593422
16-1	195	2	KL3, OCL1	Xi'an	20160319	512	512	64	64	1024	1024	1024	2	1	<0.03	SAMN36593423
16-11	195	2	KL3, OCL1	Xi'an	20160219	512	512	64	128	1024	1024	1024	4	0.5	0.125	SAMN36593424
16-12	195	2	KL3, OCL1	Xi'an	20160222	512	512	64	128	1024	1024	1024	4	1	0.125	SAMN36593425
16-15	208	2	KL2, OCL1	Xi'an	20160831	512	512	128	256	512	128	32	8	1	0.5	SAMN36593426
16-18	208	2	KL2, OCL1	Xi'an	20161102	512	512	128	256	512	128	32	8	1	0.5	SAMN36593427
